id,cuisine
1554,italian
1555,italian
1556,italian
1557,italian
1558,italian
1559,italian
1560,italian
1561,italian
1562,italian
1563,italian
1564,italian
1565,italian
1566,italian
1567,italian
1568,italian
1569,italian
1570,italian
1571,italian
1572,italian
1573,italian
1574,italian
1575,italian
1576,italian
1577,italian
1578,italian
1579,italian
1580,italian
1581,italian
1582,italian
1583,italian
1584,italian
1585,italian
1586,italian
1587,italian
1588,italian
1589,italian
1590,italian
1591,italian
1592,italian
1593,italian
1594,italian
1595,italian
1596,italian
1597,italian
1598,italian
1599,italian
1600,italian
1601,italian
1602,italian
1603,italian
1604,italian
1605,italian
1606,italian
1607,italian
1608,italian
1609,italian
1610,italian
1611,italian
1612,italian
1613,italian
1614,italian
1615,italian
1616,italian
1617,italian
1618,italian
1619,italian
1620,italian
1621,italian
1622,italian
1623,italian
1624,italian
1625,italian
1626,italian
1627,italian
1628,italian
1629,italian
1630,italian
1631,italian
1632,italian
1633,italian
1634,italian
1635,italian
1636,italian
1637,italian
1638,italian
1639,italian
1640,italian
1641,italian
1642,italian
1643,italian
1644,italian
1645,italian
1646,italian
1647,italian
1648,italian
1649,italian
1650,italian
1651,italian
1652,italian
1653,italian
1654,italian
1655,italian
1656,italian
1657,italian
1658,italian
1659,italian
1660,italian
1661,italian
1662,italian
1663,italian
1664,italian
1665,italian
1666,italian
1667,italian
1668,italian
1669,italian
1670,italian
1671,italian
1672,italian
1673,italian
1674,italian
1675,italian
1676,italian
1677,italian
1678,italian
1679,italian
1680,italian
1681,italian
1682,italian
1683,italian
1684,italian
1685,italian
1686,italian
1687,italian
1688,italian
1689,italian
1690,italian
1691,italian
1692,italian
1693,italian
1694,italian
1695,italian
1696,italian
1697,italian
1698,italian
1699,italian
1700,italian
1701,italian
1702,italian
1703,italian
1704,italian
1705,italian
1706,italian
1707,italian
1708,italian
1709,italian
1710,italian
1711,italian
1712,italian
1713,italian
1714,italian
1715,italian
1716,italian
1717,italian
1718,italian
1719,italian
1720,italian
1721,italian
1722,italian
1723,italian
1724,italian
1725,italian
1726,italian
1727,italian
1728,italian
1729,italian
1730,italian
1731,italian
1732,italian
1733,italian
1734,italian
1735,italian
1736,italian
1737,italian
1738,italian
1739,italian
1740,italian
1741,italian
1742,italian
1743,italian
1744,italian
1745,italian
1746,italian
1747,italian
1748,italian
1749,italian
1750,italian
1751,italian
1752,italian
1753,italian
1754,italian
1755,italian
1756,italian
1757,italian
1758,italian
1759,italian
1760,italian
1761,italian
1762,italian
1763,italian
1764,italian
1765,italian
1766,italian
1767,italian
1768,italian
1769,italian
1770,italian
1771,italian
1772,italian
1773,italian
1774,italian
1775,italian
1776,italian
1777,italian
1778,italian
1779,italian
1780,italian
1781,italian
1782,italian
1783,italian
1784,italian
1785,italian
1786,italian
1787,italian
1788,italian
1789,italian
1790,italian
1791,italian
1792,italian
1793,italian
1794,italian
1795,italian
1796,italian
1797,italian
1798,italian
1799,italian
1800,italian
1801,italian
1802,italian
1803,italian
1804,italian
1805,italian
1806,italian
1807,italian
1808,italian
1809,italian
1810,italian
1811,italian
1812,italian
1813,italian
1814,italian
1815,italian
1816,italian
1817,italian
1818,italian
1819,italian
1820,italian
1821,italian
1822,italian
1823,italian
1824,italian
1825,italian
1826,italian
1827,italian
1828,italian
1829,italian
1830,italian
1831,italian
1832,italian
1833,italian
1834,italian
1835,italian
1836,italian
1837,italian
1838,italian
1839,italian
1840,italian
1841,italian
1842,italian
1843,italian
1844,italian
1845,italian
1846,italian
1847,italian
1848,italian
1849,italian
1850,italian
1851,italian
1852,italian
1853,italian
1854,italian
1855,italian
1856,italian
1857,italian
1858,italian
1859,italian
1860,italian
1861,italian
1862,italian
1863,italian
1864,italian
1865,italian
1866,italian
1867,italian
1868,italian
1869,italian
1870,italian
1871,italian
1872,italian
1873,italian
1874,italian
1875,italian
1876,italian
1877,italian
1878,italian
1879,italian
1880,italian
1881,italian
1882,italian
1883,italian
1884,italian
1885,italian
1886,italian
1887,italian
1888,italian
1889,italian
1890,italian
1891,italian
1892,italian
1893,italian
1894,italian
1895,italian
1896,italian
1897,italian
1898,italian
1899,italian
1900,italian
1901,italian
1902,italian
1903,italian
1904,italian
1905,italian
1906,italian
1907,italian
1908,italian
1909,italian
1910,italian
1911,italian
1912,italian
1913,italian
1914,italian
1915,italian
1916,italian
1917,italian
1918,italian
1919,italian
1920,italian
1921,italian
1922,italian
1923,italian
1924,italian
1925,italian
1926,italian
1927,italian
1928,italian
1929,italian
1930,italian
1931,italian
1932,italian
1933,italian
1934,italian
1935,spanish
1936,greek
1937,french
1938,british
1939,filipino
1940,thai
1941,filipino
1942,chinese
1943,mexican
1944,southern_us
1945,filipino
1946,brazilian
1947,southern_us
1948,southern_us
1949,moroccan
1950,southern_us
1951,moroccan
1952,italian
1953,italian
1954,italian
1955,moroccan
1956,greek
1957,italian
1958,mexican
1959,british
1960,italian
1961,greek
1962,indian
1963,russian
1964,chinese
1965,jamaican
1966,mexican
1967,italian
1968,thai
1969,italian
1970,italian
1971,italian
1972,chinese
1973,greek
1974,greek
1975,chinese
1976,mexican
1977,italian
1978,british
1979,spanish
1980,mexican
1981,southern_us
1982,italian
1983,southern_us
1984,southern_us
1985,mexican
1986,filipino
1987,italian
1988,chinese
1989,italian
1990,moroccan
1991,filipino
1992,british
1993,mexican
1994,indian
1995,southern_us
1996,chinese
1997,french
1998,french
1999,italian
2000,southern_us
2001,chinese
2002,japanese
2003,italian
2004,southern_us
2005,chinese
2006,japanese
2007,chinese
2008,french
2009,russian
2010,italian
2011,mexican
2012,mexican
2013,mexican
2014,japanese
2015,jamaican
2016,moroccan
2017,chinese
2018,indian
2019,chinese
2020,italian
2021,italian
2022,southern_us
2023,chinese
2024,mexican
2025,italian
2026,indian
2027,italian
2028,british
2029,russian
2030,chinese
2031,mexican
2032,thai
2033,mexican
2034,italian
2035,italian
2036,chinese
2037,thai
2038,mexican
2039,italian
2040,italian
2041,italian
2042,mexican
2043,russian
2044,british
2045,italian
2046,russian
2047,korean
2048,italian
2049,jamaican
2050,filipino
2051,mexican
2052,italian
2053,italian
2054,chinese
2055,chinese
2056,thai
2057,british
2058,mexican
2059,italian
2060,southern_us
2061,chinese
2062,italian
2063,southern_us
2064,chinese
2065,chinese
2066,french
2067,southern_us
2068,mexican
2069,thai
2070,chinese
2071,italian
2072,italian
2073,southern_us
2074,irish
2075,moroccan
2076,mexican
2077,southern_us
2078,southern_us
2079,greek
2080,italian
2081,thai
2082,indian
2083,italian
2084,french
2085,italian
2086,indian
2087,chinese
2088,italian
2089,italian
2090,italian
2091,chinese
2092,french
2093,filipino
2094,italian
2095,greek
2096,italian
2097,southern_us
2098,southern_us
2099,brazilian
2100,chinese
2101,italian
2102,italian
2103,brazilian
2104,italian
2105,british
2106,irish
2107,chinese
2108,italian
2109,italian
2110,southern_us
2111,italian
2112,italian
2113,southern_us
2114,greek
2115,southern_us
2116,korean
2117,chinese
2118,greek
2119,mexican
2120,greek
2121,italian
2122,southern_us
2123,italian
2124,italian
2125,mexican
2126,mexican
2127,japanese
2128,italian
2129,filipino
2130,japanese
